,Address,Accessory Structure Permit,Billboard Application,Building Permit - Additions,Building Permit - Alterations/Repairs,Building Permit - New Construction,Building Permit - Other,Certificate of Appropriateness,Coastal Area Program Permit,Demolition Permit,Electrical Permit,Fire Protection Sprinkler Permit,Flood Permit,Highway Construction Setback Appeal,Land Disturbance,Land Use Certificate,Marine Accessory Permit - Special Flood Hazard Area,Mechanical Permit,Mobile Home Park Permit,Mobile Home/Modular Home Permit,Other - Mortgage Acceptance Letter,Other- Highway Construction Setback Appeal,Other- Permit Extension Request,"Permit Revision, Extension, or Reactivation Request",Permit to Develop in a Special Flood Hazard Area,Planned Unit Development,Plumbing Permit,RV Park Permit,Re-Roofing Permit,Sign Application,Site Plan Approval (Land Use),Site Plan Approval (Old),Stop Work Order,Subdivision - Concurrent Review,Subdivision - Exemption Verification,Subdivision - Final Plat,Subdivision - Planned Unit Development,Subdivision - Preliminary Plat,Subdivision - Sketch Plan,Subdivision - Variance,Subdivision Ex,Swimming Pool Permit,Tower Permit,Unsafe/Nuisance Abatement,Zoning - Commercial Site Plan Approval,Zoning - Rezoning,Zoning - Sign Application,Zoning - Site Plan Approval (Land Use Certificate),Zoning - Variance,Zoning - Verification Request,ML Cluster
0,0 AFFIRMED AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1,0 ARCHIE RD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2,0 Allen RD N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,0 Augustine DR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4,0 BAY RD W,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5,0 BAY VIEW DR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,0 BIG LIZARD CREEK BRIDGE AT MILE POST 651.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7,0 BRINKS WILLIS RD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
8,0 Berga LN 36526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
9,0 CHAMPION PAPER RD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
10,0 CLARK RIDGE RD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
